,precision,recall,f1-score,support
0,0.9908814589665653,0.9979591836734694,0.9944077275038129,980.0
1,0.9947322212467077,0.9982378854625551,0.9964819700967459,1135.0
2,0.9903567984570878,0.9951550387596899,0.9927501208313194,1032.0
3,0.9950396825396826,0.9930693069306931,0.9940535183349851,1010.0
4,0.9959266802443992,0.9959266802443992,0.9959266802443992,982.0
5,0.982281284606866,0.9943946188340808,0.9883008356545963,892.0
6,0.9936974789915967,0.9874739039665971,0.9905759162303663,958.0
7,0.9912536443148688,0.9922178988326849,0.9917355371900827,1028.0
8,0.9958720330237358,0.9907597535934292,0.993309315491508,974.0
9,0.9969818913480886,0.9821605550049554,0.9895157264103844,1009.0
accuracy,0.9928,0.9928,0.9928,0.9928
macro avg,0.9927023173739599,0.9927354825302555,0.9927057347988202,10000.0
weighted avg,0.9928223121909339,0.9928,0.9927983633850603,10000.0
