,precision,recall,f1-score,support
0,0.9969356486210419,0.9959183673469387,0.9964267483409903,980.0
1,0.9938650306748467,0.9991189427312775,0.9964850615114236,1135.0
2,0.9990272373540856,0.9951550387596899,0.9970873786407768,1032.0
3,0.9921259842519685,0.998019801980198,0.9950641658440277,1010.0
4,0.9939086294416244,0.9969450101832994,0.9954245043213016,982.0
5,0.9954904171364148,0.9899103139013453,0.9926925238898257,892.0
6,0.9958115183246073,0.9926931106471816,0.9942498693152118,958.0
7,0.9941747572815534,0.9961089494163424,0.9951409135082604,1028.0
8,0.9938398357289527,0.9938398357289527,0.9938398357289527,974.0
9,0.9950248756218906,0.9910802775024777,0.9930486593843099,1009.0
accuracy,0.995,0.995,0.995,0.995
macro avg,0.9950203934436985,0.9948789648197703,0.994945966048508,10000.0
weighted avg,0.9950052009248731,0.995,0.9949988666211862,10000.0
